Field=#~Integer~#~50|Field=Comment~String~Comment~47|Field=Description~String~Description~47|Field=Designator~String~Designator~47|Field=Footprint~String~Footprint~20|Field=LibRef~String~LibRef~20|Field=Manufacturer~String~Manufacturer~26|Field=Manufacturer 1~String~Manufacturer 1~20|Field=Manufacturer Part Number~String~Manufacturer Part Number~26|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~20|Field=Package / Case~String~Package / Case~26|Field=Quantity~Integer~Quantity~20|Field=Supplier 1~String~Supplier 1~20|Field=Supplier Currency 1~String~Supplier Currency 1~20|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~20|Field=Supplier Part Number 1~String~Supplier Part Number 1~20|Field=Supplier Stock 1~Integer~Supplier Stock 1~20|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~20|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~20|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LM_001_Rev_C.PrjPcb|ReportField=ProjectFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM_HTR_001_Rev_C\LM_001_Rev_C.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [LM_001_Rev_C.PcbDoc]|ReportField=TotalQuantity~103|ReportField=ReportTime~11:23:02 AM|ReportField=ReportDate~9/18/2018|ReportField=ReportDateTime~9/18/2018 11:23:02 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~LM_001_Rev_C.PcbDoc|ReportField=DataSourceFullPath~C:\Users\zls\Desktop\Land_Meter_PCB\LM_HTR_001_Rev_C\LM_001_Rev_C.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|75|RES SMD 75 OHM 1% 1/8W 0805|R4, R5, R9, R10, R16, R17|RESC0805(2012)_L|CMP-1013-00393-1|Vishay Dale|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080575R0FKTA%26seller%3DDigi-Key%26sku%3D541-3031-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW080575R0FKTA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080575R0FKTA%26seller%3DDigi-Key%26sku%3D541-3031-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW080575R0FKTA{URL.TIP}Manufacturer|0805 (2012 Metric)|6|Digi-Key|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080575R0FKTA%26seller%3DDigi-Key%26sku%3D541-3031-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-3031-1-ND{URL.TIP}Supplier|878|0.96|0.16
12|KTY81-120||R21, R35|KTY81-120|KTY81-120||{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||2||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
13|10K|[NoValue], RES SMD 10K OHM 1% 1/8W 0805, [NoValue], [NoValue], RES SMD 10K OHM 1% 1/8W 0805, [NoValue], [NoValue], [NoValue]|R22, R24, R28, R33, R37, R38, R44, R47|RESC0805(2012)_L|CMP-1013-00393-1||{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||8||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
14|1K|RES SMD 1K OHM 1% 1/8W 0805|R23, R36|RESC0805(2012)_L|CMP-1013-00393-1|Vishay Dale|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08051K00FKEA%26seller%3DDigi-Key%26sku%3D541-1.00KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW08051K00FKEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08051K00FKEA%26seller%3DDigi-Key%26sku%3D541-1.00KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW08051K00FKEA{URL.TIP}Manufacturer|0805 (2012 Metric)|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW08051K00FKEA%26seller%3DDigi-Key%26sku%3D541-1.00KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-1.00KCCT-ND{URL.TIP}Supplier|15993|0.2|0.1
15|100K|TRIMMER 5K OHM 0.25W PC PIN|R25, R31, R39, R43|Trimmer 2.54|Trimmer||{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||4||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
16|24.3K|RES SMD 24.3K OHM 1% 1/8W 0805|R26, R40|RESC0805(2012)_L|CMP-1013-00393-1|Vishay Dale|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080524K3FKEA%26seller%3DDigi-Key%26sku%3D541-24.3KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW080524K3FKEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080524K3FKEA%26seller%3DDigi-Key%26sku%3D541-24.3KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW080524K3FKEA{URL.TIP}Manufacturer|0805 (2012 Metric)|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080524K3FKEA%26seller%3DDigi-Key%26sku%3D541-24.3KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-24.3KCCT-ND{URL.TIP}Supplier|35|0.2|0.1
17|DNP|RES SMD 10K OHM 1% 1/8W 0805, RES SMD 249K OHM 1% 1/8W 0805, RES SMD 249K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 249K OHM 1% 1/8W 0805, RES SMD 249K OHM 1% 1/8W 0805|R27, R30, R32, R41, R42, R45|RESC0805(2012)_L|CMP-1013-00393-1|Vishay Dale|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080510K0FKEA%252C%2520CRCW0805249KFKECC%252C%2520CRCW0805249KFKECC%252C%2520CRCW080510K0FKEA%252C%2520CRCW0805249KFKECC%252C%2520CRCW0805249KFKECC%26seller%3DDigi-Key%26sku%3D541-10.0KCCT-ND%252C%2520541-4128-1-ND%252C%2520541-4128-1-ND%252C%2520541-10.0KCCT-ND%252C%2520541-4128-1-ND%252C%2520541-4128-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|CRCW080510K0FKEA, CRCW0805249KFKECC, CRCW0805249KFKECC, CRCW080510K0FKEA, CRCW0805249KFKECC, CRCW0805249KFKECC|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080510K0FKEA%252C%2520CRCW0805249KFKECC%252C%2520CRCW0805249KFKECC%252C%2520CRCW080510K0FKEA%252C%2520CRCW0805249KFKECC%252C%2520CRCW0805249KFKECC%26seller%3DDigi-Key%26sku%3D541-10.0KCCT-ND%252C%2520541-4128-1-ND%252C%2520541-4128-1-ND%252C%2520541-10.0KCCT-ND%252C%2520541-4128-1-ND%252C%2520541-4128-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW080510K0FKEA,%20CRCW0805249KFKECC,%20CRCW0805249KFKECC,%20CRCW080510K0FKEA,%20CRCW0805249KFKECC,%20CRCW0805249KFKECC{URL.TIP}Manufacturer|0805 (2012 Metric)|6|Digi-Key|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW080510K0FKEA%252C%2520CRCW0805249KFKECC%252C%2520CRCW0805249KFKECC%252C%2520CRCW080510K0FKEA%252C%2520CRCW0805249KFKECC%252C%2520CRCW0805249KFKECC%26seller%3DDigi-Key%26sku%3D541-10.0KCCT-ND%252C%2520541-4128-1-ND%252C%2520541-4128-1-ND%252C%2520541-10.0KCCT-ND%252C%2520541-4128-1-ND%252C%2520541-4128-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-10.0KCCT-ND,%20541-4128-1-ND,%20541-4128-1-ND,%20541-10.0KCCT-ND,%20541-4128-1-ND,%20541-4128-1-ND{URL.TIP}Supplier||0.6|0.1
18|1.2k||R29, R46|RESC0805(2012)_L|CMP-1013-00393-1||{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||2||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
19|500K|TRIMMER 5K OHM 0.25W PC PIN|R34, R48|Trimmer 2.54|Trimmer|Bourns Inc.|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%2520Inc.%26mpn%3D3296Y-1-504LF%26seller%3DDigi-Key%26sku%3D3296Y-504LF-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Bourns%20Inc.{URL.TIP}Component|3296Y-1-504LF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%2520Inc.%26mpn%3D3296Y-1-504LF%26seller%3DDigi-Key%26sku%3D3296Y-504LF-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}3296Y-1-504LF{URL.TIP}Manufacturer||2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%2520Inc.%26mpn%3D3296Y-1-504LF%26seller%3DDigi-Key%26sku%3D3296Y-504LF-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}3296Y-504LF-ND{URL.TIP}Supplier|2059|4.82|2.41
20|5003|Test Point, Orange, 1-Pin THD, RoHS|TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8|KSTN-5003|CMP-1672-00009-1||{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||8||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
